anchor_strength,dim_ker,lambda_min
0.0,3,1.1575239024016615
0.0001,0,2.127431315838592e-05
0.001,0,0.00021271123585515667
0.01,0,0.0021239220682964816
0.1,0,0.02091935090157422
1.0,0,0.17497541931026006
10.0,0,0.3798315517780358
