arm,fitted_slope,amp@tau=0.05,amp@tau=0.1,amp@tau=0.2,amp@tau=0.4,amp@tau=0.8,amp@tau=1.6
generic,1.9992678569270912,0.00014455664969281133,0.0005782213947474624,0.002312802316108197,0.009249877154241859,0.03697820099153955,0.14757227451299593
symmetric (s_i=s_j),nan,2.220718167045209e-16,2.4836516800562416e-16,3.188986937629985e-16,6.3165497252601374e-18,2.4825562428557085e-16,4.1078904331448364e-16
"generic, eta=0",nan,1.734723475976807e-18,3.469446951953614e-18,6.938893903907228e-18,1.3877787807814457e-17,2.7755575615628914e-17,5.551115123125783e-17
"generic, xi=0",nan,0.0,0.0,0.0,0.0,0.0,0.0
