arm,fitted_slope,D_ss@tau=0.1,D_ss@tau=0.2,D_ss@tau=0.4,D_ss@tau=0.8,D_ss@tau=1.6
A2/generic  noise ON,2.00615981371234,0.0008401831409927905,0.0033856195899800716,0.01359945698061312,0.05455448168899276,0.2189521556914371
A2/generic  noise OFF,2.000869776836089,0.0008589422657229909,0.003435958711467507,0.013746067523203466,0.05501369284565256,0.22047616380332538
A2/generic  eta=0,2.0000000000001887,0.0008540808185875372,0.0034163232743501444,0.01366529309740086,0.05466117238960353,0.21864468955855101
A2/generic  path graph,1.9813324648886879,0.0015204150158464327,0.005960687846622143,0.023411260772975475,0.09268281512248656,0.3700950256944964
paper rule  noise OFF,nan,1.0136464051432001e-29,2.1097254978193363e-29,5.504358686512406e-29,1.7596841809817232e-29,3.6664566155191426e-30
A2/symmetric noise ON,1.5944721860084976,4.935821453548502e-06,1.1473765229113238e-05,3.337006930590614e-05,0.00011072652190378582,0.00039903075329123357
A2/symmetric noise OFF,nan,7.348813396648684e-30,4.438590320417957e-30,2.0095332400502142e-29,7.210769135973497e-30,3.200005098781082e-30
